----------------------------------------------------------------------------------------------------------
GateType   Output     GateLevel  #faninN    fanin                #fanoutM   fanout               GateName  

DFF        CRC_OUT_9_0 0          1          BUFXG9114XG1         1          CRC_OUT_9_0          XG1       

DFF        CRC_OUT_9_1 0          1          BUFXG9113XG2         1          CRC_OUT_9_1          XG2       

DFF        CRC_OUT_9_2 0          1          BUFXG9112XG3         1          CRC_OUT_9_2          XG3       

DFF        CRC_OUT_9_3 0          1          BUFXG9111XG4         1          CRC_OUT_9_3          XG4       

DFF        CRC_OUT_9_4 0          1          BUFXG10401XG5        1          CRC_OUT_9_4          XG5       

DFF        CRC_OUT_9_5 0          1          BUFXG9110XG6         1          CRC_OUT_9_5          XG6       

DFF        CRC_OUT_9_6 0          1          BUFXG9109XG7         1          CRC_OUT_9_6          XG7       

DFF        CRC_OUT_9_7 0          1          BUFXG9108XG8         1          CRC_OUT_9_7          XG8       

DFF        CRC_OUT_9_8 0          1          BUFXG9107XG9         1          CRC_OUT_9_8          XG9       

DFF        CRC_OUT_9_9 0          1          BUFXG9106XG10        1          CRC_OUT_9_9          XG10      

DFF        CRC_OUT_9_10 0          1          BUFXG9105XG11        1          CRC_OUT_9_10         XG11      

DFF        CRC_OUT_9_11 0          1          BUFXG10400XG12       1          CRC_OUT_9_11         XG12      

DFF        CRC_OUT_9_12 0          1          BUFXG9104XG13        1          CRC_OUT_9_12         XG13      

DFF        CRC_OUT_9_13 0          1          BUFXG9103XG14        1          CRC_OUT_9_13         XG14      

DFF        CRC_OUT_9_14 0          1          BUFXG9102XG15        1          CRC_OUT_9_14         XG15      

DFF        CRC_OUT_9_15 0          1          BUFXG9101XG16        1          CRC_OUT_9_15         XG16      

DFF        CRC_OUT_9_16 0          1          BUFXG10399XG17       1          CRC_OUT_9_16         XG17      

DFF        CRC_OUT_9_17 0          1          BUFXG9100XG18        1          CRC_OUT_9_17         XG18      

DFF        CRC_OUT_9_18 0          1          BUFXG9099XG19        1          CRC_OUT_9_18         XG19      

DFF        CRC_OUT_9_19 0          1          BUFXG9098XG20        1          CRC_OUT_9_19         XG20      

DFF        CRC_OUT_9_20 0          1          BUFXG9097XG21        1          CRC_OUT_9_20         XG21      

DFF        CRC_OUT_9_21 0          1          BUFXG9096XG22        1          CRC_OUT_9_21         XG22      

DFF        CRC_OUT_9_22 0          1          BUFXG9095XG23        1          CRC_OUT_9_22         XG23      

DFF        CRC_OUT_9_23 0          1          BUFXG9094XG24        1          CRC_OUT_9_23         XG24      

DFF        CRC_OUT_9_24 0          1          BUFXG9093XG25        1          CRC_OUT_9_24         XG25      

DFF        CRC_OUT_9_25 0          1          BUFXG9092XG26        1          CRC_OUT_9_25         XG26      

DFF        CRC_OUT_9_26 0          1          BUFXG9091XG27        1          CRC_OUT_9_26         XG27      

DFF        CRC_OUT_9_27 0          1          BUFXG9090XG28        1          CRC_OUT_9_27         XG28      

DFF        CRC_OUT_9_28 0          1          BUFXG9089XG29        1          CRC_OUT_9_28         XG29      

DFF        CRC_OUT_9_29 0          1          BUFXG9088XG30        1          CRC_OUT_9_29         XG30      

DFF        CRC_OUT_9_30 0          1          BUFXG9087XG31        1          CRC_OUT_9_30         XG31      

DFF        CRC_OUT_9_31 0          1          BUFXG9086XG32        1          CRC_OUT_9_31         XG32      

DFF        CRC_OUT_8_0 0          1          BUFXG9085XG33        1          CRC_OUT_8_0          XG33      

DFF        CRC_OUT_8_1 0          1          BUFXG9084XG34        1          CRC_OUT_8_1          XG34      

DFF        CRC_OUT_8_2 0          1          BUFXG9083XG35        1          CRC_OUT_8_2          XG35      

DFF        CRC_OUT_8_3 0          1          BUFXG9082XG36        1          CRC_OUT_8_3          XG36      

DFF        CRC_OUT_8_4 0          1          BUFXG10398XG37       1          CRC_OUT_8_4          XG37      

DFF        CRC_OUT_8_5 0          1          BUFXG9081XG38        1          CRC_OUT_8_5          XG38      

DFF        CRC_OUT_8_6 0          1          BUFXG9080XG39        1          CRC_OUT_8_6          XG39      

DFF        CRC_OUT_8_7 0          1          BUFXG9079XG40        1          CRC_OUT_8_7          XG40      

DFF        CRC_OUT_8_8 0          1          BUFXG9078XG41        1          CRC_OUT_8_8          XG41      

DFF        CRC_OUT_8_9 0          1          BUFXG9077XG42        1          CRC_OUT_8_9          XG42      

DFF        CRC_OUT_8_10 0          1          BUFXG9076XG43        1          CRC_OUT_8_10         XG43      

DFF        CRC_OUT_8_11 0          1          BUFXG10397XG44       1          CRC_OUT_8_11         XG44      

DFF        CRC_OUT_8_12 0          1          BUFXG9075XG45        1          CRC_OUT_8_12         XG45      

DFF        CRC_OUT_8_13 0          1          BUFXG9074XG46        1          CRC_OUT_8_13         XG46      

DFF        CRC_OUT_8_14 0          1          BUFXG9073XG47        1          CRC_OUT_8_14         XG47      

DFF        CRC_OUT_8_15 0          1          BUFXG9072XG48        1          CRC_OUT_8_15         XG48      

DFF        CRC_OUT_8_16 0          1          BUFXG10396XG49       1          CRC_OUT_8_16         XG49      

DFF        CRC_OUT_8_17 0          1          BUFXG9071XG50        1          CRC_OUT_8_17         XG50      

DFF        CRC_OUT_8_18 0          1          BUFXG9070XG51        1          CRC_OUT_8_18         XG51      

DFF        CRC_OUT_8_19 0          1          BUFXG9069XG52        1          CRC_OUT_8_19         XG52      

DFF        CRC_OUT_8_20 0          1          BUFXG9068XG53        1          CRC_OUT_8_20         XG53      

DFF        CRC_OUT_8_21 0          1          BUFXG9067XG54        1          CRC_OUT_8_21         XG54      

DFF        CRC_OUT_8_22 0          1          BUFXG9066XG55        1          CRC_OUT_8_22         XG55      

DFF        CRC_OUT_8_23 0          1          BUFXG9065XG56        1          CRC_OUT_8_23         XG56      

DFF        CRC_OUT_8_24 0          1          BUFXG9064XG57        1          CRC_OUT_8_24         XG57      

DFF        CRC_OUT_8_25 0          1          BUFXG9063XG58        1          CRC_OUT_8_25         XG58      

DFF        CRC_OUT_8_26 0          1          BUFXG9062XG59        1          CRC_OUT_8_26         XG59      

DFF        CRC_OUT_8_27 0          1          BUFXG9061XG60        1          CRC_OUT_8_27         XG60      

DFF        CRC_OUT_8_28 0          1          BUFXG9060XG61        1          CRC_OUT_8_28         XG61      

DFF        CRC_OUT_8_29 0          1          BUFXG9059XG62        1          CRC_OUT_8_29         XG62      

DFF        CRC_OUT_8_30 0          1          BUFXG9058XG63        1          CRC_OUT_8_30         XG63      

DFF        CRC_OUT_8_31 0          1          BUFXG9057XG64        1          CRC_OUT_8_31         XG64      

DFF        CRC_OUT_7_0 0          1          BUFXG9056XG65        1          CRC_OUT_7_0          XG65      

DFF        CRC_OUT_7_1 0          1          BUFXG9055XG66        1          CRC_OUT_7_1          XG66      

